i = 1, pred = 0.8584399819374084d0, var = 0.0d0
i = 83.39987, pred = 0.8091268427857312d0, var = 1.6402965554466293d-5
i = 83.59987, pred = 0.8091142993023518d0, var = 1.567574208032249d-5
i = 83.799866, pred = 0.8090698967748557d0, var = 1.4975894819302939d-5
i = 83.99986, pred = 0.8089938601959522d0, var = 1.4350026523405327d-5
i = 84.19986, pred = 0.8088878600966698d0, var = 1.3827386105114579d-5
i = 84.39986, pred = 0.8087551494279455d0, var = 1.3419359898804496d-5
i = 84.59985, pred = 0.8086008022089423d0, var = 1.3122118487619863d-5
i = 84.79985, pred = 0.8084315616240483d0, var = 1.292117841903624d-5
i = 84.99985, pred = 0.8082559011664224d0, var = 1.2796466546988487d-5
i = 85.199844, pred = 0.8080835322940237d0, var = 1.272675913857014d-5
i = 85.39984, pred = 0.8079250672073098d0, var = 1.2692856228534839d-5
i = 85.59984, pred = 0.8077912071349469d0, var = 1.2679395360162733d-5
i = 85.799835, pred = 0.8076921956872819d0, var = 1.2675533454664204d-5
i = 85.99983, pred = 0.8076369838555654d0, var = 1.2674934420794d-5
i = 86.19983, pred = 0.8076326485976485d0, var = 1.2675527201203633d-5
i = 86.399826, pred = 0.8076839928869052d0, var = 1.2679375559319078d-5
i = 86.59982, pred = 0.8077933289369474d0, var = 1.2692807668114798d-5
i = 86.79982, pred = 0.8079605279567037d0, var = 1.2726661492327024d-5
i = 86.99982, pred = 0.8081831608491806d0, var = 1.2796299445375743d-5
i = 87.199814, pred = 0.8084570047886637d0, var = 1.2920926302858504d-5
i = 87.39981, pred = 0.8087762992648011d0, var = 1.3121781530274855d-5
i = 87.59981, pred = 0.8091343578189479d0, var = 1.3418962849888245d-5
i = 87.799805, pred = 0.8095238326786348d0, var = 1.3826992278734221d-5
i = 87.9998, pred = 0.8099371944323593d0, var = 1.4349746953334413d-5
i = 88.1998, pred = 0.810366881805956d0, var = 1.4975892874237003d-5
i = 88.399796, pred = 0.810805526000466d0, var = 1.5676230837490118d-5
i = 88.59979, pred = 0.81124613200195d0, var = 1.6404197491539894d-5
i = 88.79979, pred = 0.8116821387799693d0, var = 1.7100087421055775d-5
i = 88.99979, pred = 0.8121074137268962d0, var = 1.7698620897559196d-5
i = 89.19978, pred = 0.8125164093128294d0, var = 1.813852685176334d-5
i = 89.39978, pred = 0.8129041122469758d0, var = 1.8372248296582486d-5
i = 89.59978, pred = 0.8132663368342604d0, var = 1.8373792232661656d-5
i = 89.799774, pred = 0.8135997690498172d0, var = 1.8143109935106312d-5
i = 89.99977, pred = 0.813902205255193d0, var = 1.770610109642706d-5
i = 90.19977, pred = 0.8141728285359844d0, var = 1.7110278435019036d-5
i = 90.399765, pred = 0.8144124633793639d0, var = 1.6416916288672253d-5
i = 90.59976, pred = 0.8146237545634173d0, var = 1.5691342280853162d-5
i = 90.79976, pred = 0.8148111192007905d0, var = 1.4993295966060264d-5
i = 90.999756, pred = 0.8149807392962454d0, var = 1.4369308656807403d-5
i = 91.19975, pred = 0.8151400722859223d0, var = 1.3848397106358076d-5
i = 91.39975, pred = 0.8152972034993627d0, var = 1.3441518363174449d-5
i = 91.59975, pred = 0.8154601017294838d0, var = 1.3144267652370251d-5
i = 91.79974, pred = 0.8156356422865221d0, var = 1.2941652129218853d-5
i = 91.99974, pred = 0.8158287869935932d0, var = 1.2813624382486544d-5
i = 92.19974, pred = 0.8160418521916223d0, var = 1.2740284300943912d-5
i = 92.399734, pred = 0.8162741949416142d0, var = 1.2706151530903939d-5
i = 92.59973, pred = 0.8165221464602332d0, var = 1.2703272125845692d-5
i = 92.79973, pred = 0.8167794776452316d0, var = 1.2733150448226974d-5
i = 92.999725, pred = 0.8170378963339991d0, var = 1.2807509670478676d-5
i = 93.19972, pred = 0.8172879954735812d0, var = 1.2947791139376927d-5
i = 93.39972, pred = 0.8175201230619841d0, var = 1.3183204084647211d-5
i = 93.59972, pred = 0.8177252858681949d0, var = 1.3547109885133313d-5
i = 93.79971, pred = 0.81789587003941d0, var = 1.4071732009952812d-5
i = 93.99971, pred = 0.8180262351452595d0, var = 1.4781579513270899d-5
i = 94.19971, pred = 0.8181130043409884d0, var = 1.5686559139720806d-5
i = 94.399704, pred = 0.8181552296792756d0, var = 1.677615451777973d-5
i = 94.5997, pred = 0.8181543959526707d0, var = 1.801614396871682d-5
i = 94.7997, pred = 0.8181142442759929d0, var = 1.934888405000487d-5
i = 94.999695, pred = 0.8180404543963267d0, var = 2.069742082206327d-5
i = 95.19969, pred = 0.8179404661480048d0, var = 2.197285438324385d-5
i = 95.39969, pred = 0.8178230675371293d0, var = 2.3083734599399528d-5
i = 95.599686, pred = 0.8176981655892944d0, var = 2.394605685655099d-5
i = 95.79968, pred = 0.8175765064787813d0, var = 2.4492409988637765d-5
i = 95.99968, pred = 0.8174694229913614d0, var = 2.4679252722908734d-5
i = 96.19968, pred = 0.8173885556743711d0, var = 2.4491544851768818d-5
i = 96.39967, pred = 0.8173455259525468d0, var = 2.3944309478195363d-5
i = 96.59967, pred = 0.8173515905473806d0, var = 2.3081065493765794d-5
i = 96.79967, pred = 0.8174171934320467d0, var = 2.196919011104101d-5
i = 96.999664, pred = 0.8175514126062093d0, var = 2.069267281676806d-5
i = 97.19966, pred = 0.8177613276573353d0, var = 1.9342928718402125d-5
i = 97.39966, pred = 0.8180514401905967d0, var = 1.800884612876992d-5
i = 97.599655, pred = 0.8184230853261609d0, var = 1.6767392853159743d-5
i = 97.79965, pred = 0.8188740006430069d0, var = 1.5676292180653082d-5
i = 97.99965, pred = 0.8193981796868217d0, var = 1.4769945404945212d-5
i = 98.199646, pred = 0.8199861448644817d0, var = 1.405917370606576d-5
i = 98.39964, pred = 0.8206255083767483d0, var = 1.3534492657221394d-5
i = 98.59964, pred = 0.8213019206023943d0, var = 1.3171829450247059d-5
i = 98.79964, pred = 0.8220004058596553d0, var = 1.2939174432868073d-5
i = 98.99963, pred = 0.8227064944067943d0, var = 1.2802706846591425d-5
i = 99.19963, pred = 0.8234075730892318d0, var = 1.273141732790025d-5
i = 99.39963, pred = 0.8240936600665592d0, var = 1.2699857826982818d-5
i = 99.599625, pred = 0.8247578771441739d0, var = 1.2689195855170901d-5
i = 99.79962, pred = 0.825396567422482d0, var = 1.2687058878381282d-5
i = 99.99962, pred = 0.8260088000916486d0, var = 1.2686764109852838d-5
i = 100.199615, pred = 0.8265956715678008d0, var = 1.2686491086820728d-5
i = 100.39961, pred = 0.8271593965894991d0, var = 1.2688757137337021d-5
i = 100.59961, pred = 0.8277024256087395d0, var = 1.2700325015667615d-5
i = 100.79961, pred = 0.8282265122805405d0, var = 1.2732348749242356d-5
i = 100.9996, pred = 0.8287321969775261d0, var = 1.280036886708058d-5
i = 101.1996, pred = 0.829218476364606d0, var = 1.2923654222655633d-5
i = 101.3996, pred = 0.8296828435814387d0, var = 1.3123432097139629d-5
i = 101.599594, pred = 0.8301217015210859d0, var = 1.341974402255277d-5
i = 101.79959, pred = 0.8305309110115952d0, var = 1.3827040573672624d-5
i = 101.99959, pred = 0.8309065739421879d0, var = 1.4349129931568144d-5
i = 102.199585, pred = 0.831245665081136d0, var = 1.4974620880069704d-5
i = 102.39958, pred = 0.8315467388037127d0, var = 1.5674272910057464d-5
i = 102.59958, pred = 0.8318101427798882d0, var = 1.640149492508401d-5
i = 102.799576, pred = 0.8320382397710242d0, var = 1.7096570024762703d-5
i = 102.99957, pred = 0.8322353656552685d0, var = 1.7694218437082997d-5
i = 103.19957, pred = 0.8324073129229327d0, var = 1.8133174156158608d-5
i = 103.39957, pred = 0.8325611436006283d0, var = 1.8365889190596236d-5
i = 103.59956, pred = 0.8327045071085247d0, var = 1.836637977709278d-5
i = 103.79956, pred = 0.8328451236049471d0, var = 1.8134585272776207d-5
i = 103.99956, pred = 0.8329902160835182d0, var = 1.7696394008442685d-5
i = 104.199554, pred = 0.8331459236451142d0, var = 1.7099266966071628d-5
i = 104.39955, pred = 0.833316810668029d0, var = 1.6404425213257783d-5
i = 104.59955, pred = 0.8335054005165384d0, var = 1.5677142340623604d-5
i = 104.799545, pred = 0.8337120350163341d0, var = 1.4977154339491295d-5
i = 104.99954, pred = 0.8339346288634232d0, var = 1.435108991920498d-5
i = 105.19954, pred = 0.8341689310585042d0, var = 1.382822918202761d-5
i = 105.399536, pred = 0.8344088816746239d0, var = 1.3419984746894188d-5
i = 105.59953, pred = 0.834647195363664d0, var = 1.3122548539186085d-5
i = 105.79953, pred = 0.8348762242376099d0, var = 1.2921447535320259d-5
i = 105.99953, pred = 0.8350885410238725d0, var = 1.279661431883901d-5
i = 106.199524, pred = 0.8352779624024366d0, var = 1.2726821700366303d-5
i = 106.39952, pred = 0.8354398316142564d0, var = 1.2692865009263526d-5
i = 106.59952, pred = 0.835571569085282d0, var = 1.2679374370795803d-5
i = 106.799515, pred = 0.8356725886364786d0, var = 1.2675498848065645d-5
i = 106.99951, pred = 0.8357441718790583d0, var = 1.2674897629774934d-5
i = 107.19951, pred = 0.8357891558403409d0, var = 1.2675492068004873d-5
i = 107.399506, pred = 0.8358113401757236d0, var = 1.2679339937784868d-5
i = 107.5995, pred = 0.8358149521744026d0, var = 1.2692759931428867d-5
i = 107.7995, pred = 0.8358042378710587d0, var = 1.2726579359535706d-5
i = 107.9995, pred = 0.8357828478319652d0, var = 1.2796145486981785d-5
i = 108.19949, pred = 0.8357536489737782d0, var = 1.2920647193735903d-5
i = 108.39949, pred = 0.8357185113234985d0, var = 1.3121306643987368d-5
i = 108.59949, pred = 0.8356782630008107d0, var = 1.3418206242332612d-5
i = 108.799484, pred = 0.8356326787368386d0, var = 1.3825856678549006d-5
i = 108.99948, pred = 0.8355807844067108d0, var = 1.4348130291865545d-5
i = 109.19948, pred = 0.8355209221028079d0, var = 1.4973697512976172d-5
i = 109.399475, pred = 0.8354509913731829d0, var = 1.5673367294299478d-5
i = 109.59947, pred = 0.8353686401198468d0, var = 1.640059282317919d-5
i = 109.79947, pred = 0.8352713937641094d0, var = 1.7095686778393868d-5
i = 109.999466, pred = 0.8351567149382454d0, var = 1.7693387651625333d-5
i = 110.19946, pred = 0.8350221872827152d0, var = 1.813243202508121d-5
i = 110.39946, pred = 0.8348655447406537d0, var = 1.8365274726185714d-5
i = 110.59946, pred = 0.8346847632473247d0, var = 1.8365916330078802d-5
i = 110.79945, pred = 0.8344783801006037d0, var = 1.813428462019821d-5
i = 110.99945, pred = 0.8342453980556808d0, var = 1.7696243751132127d-5
i = 111.19945, pred = 0.8339858104695349d0, var = 1.70992454177782d-5
i = 111.399445, pred = 0.8337005705672554d0, var = 1.640450228368052d-5
i = 111.59944, pred = 0.8333918878287443d0, var = 1.567728182965942d-5
i = 111.79944, pred = 0.8330632209529398d0, var = 1.497732188579485d-5
i = 111.999435, pred = 0.8327191676979117d0, var = 1.4351258160038183d-5
i = 112.19943, pred = 0.832365291099571d0, var = 1.3828378232702517d-5
i = 112.39943, pred = 0.8320077103619722d0, var = 1.3420105558403637d-5
i = 112.59943, pred = 0.8316525574846486d0, var = 1.3122637440312151d-5
i = 112.79942, pred = 0.8313055133106003d0, var = 1.2921507536326433d-5
i = 112.99942, pred = 0.830971503670381d0, var = 1.2796651268852764d-5
i = 113.19942, pred = 0.830654489593522d0, var = 1.2726841448074773d-5
i = 113.399414, pred = 0.8303576691523478d0, var = 1.2692874079431921d-5
i = 113.59941, pred = 0.8300838122383787d0, var = 1.2679377109829903d-5
i = 113.79941, pred = 0.8298357715808121d0, var = 1.2675499274993236d-5
i = 113.999405, pred = 0.8296169747589334d0, var = 1.2674897107842368d-5
i = 114.1994, pred = 0.8294317281334119d0, var = 1.2675490171671237d-5
i = 114.3994, pred = 0.8292850739019054d0, var = 1.2679334223942049d-5
i = 114.599396, pred = 0.8291824734499719d0, var = 1.2692746072056178d-5
i = 114.79939, pred = 0.8291289942042589d0, var = 1.2726550508295425d-5
i = 114.99939, pred = 0.8291284663620505d0, var = 1.2796093193678376d-5
i = 115.19939, pred = 0.8291827299670053d0, var = 1.2920559658680505d-5
i = 115.39938, pred = 0.8292909219250362d0, var = 1.3121173530501658d-5
i = 115.59938, pred = 0.829449406892514d0, var = 1.3418017392458543d-5
i = 115.79938, pred = 0.8296517970636106d0, var = 1.3825606657882921d-5
i = 115.999374, pred = 0.8298894939468276d0, var = 1.4347820793497395d-5
i = 116.19937, pred = 0.8301522808828883d0, var = 1.4973338868693692d-5
i = 116.39937, pred = 0.8304291298446727d0, var = 1.5672980354126046d-5
i = 116.599365, pred = 0.830708703509887d0, var = 1.640020559031774d-5
i = 116.79936, pred = 0.8309799606313881d0, var = 1.7095335353589382d-5
i = 116.99936, pred = 0.8312324347265996d0, var = 1.7693104407248626d-5
i = 117.199356, pred = 0.8314564780092686d0, var = 1.813224915018923d-5
i = 117.39935, pred = 0.8316432554797197d0, var = 1.8365210734628964d-5
i = 117.59935, pred = 0.8317848099138964d0, var = 1.836597822943433d-5
i = 117.79935, pred = 0.8318741972238922d0, var = 1.8134465096218736d-5
i = 117.999344, pred = 0.8319053803251244d0, var = 1.769652423770505d-5
i = 118.19934, pred = 0.8318735400696726d0, var = 1.7099594999704326d-5
i = 118.39934, pred = 0.8317750703599399d0, var = 1.640488618299283d-5
i = 118.599335, pred = 0.8316079723346599d0, var = 1.5677666454849474d-5
i = 118.79933, pred = 0.8313719216309351d0, var = 1.4977678874339225d-5
i = 118.99933, pred = 0.831068486274632d0, var = 1.435156604719472d-5
i = 119.199326, pred = 0.8307012520653739d0, var = 1.3828627275866814d-5
i = 119.39932, pred = 0.8302756668801217d0, var = 1.3420292613614485d-5
i = 119.59932, pred = 0.8297988936366963d0, var = 1.3122768726096094d-5
i = 119.79932, pred = 0.8292795667527285d0, var = 1.292159231062554d-5
i = 119.99931, pred = 0.8287273287017273d0, var = 1.2796701103606717d-5
i = 120.19931, pred = 0.8281522570986363d0, var = 1.2726867327665075d-5
i = 120.39931, pred = 0.8275645245572213d0, var = 1.2692885127560278d-5
i = 120.599304, pred = 0.8269737354820922d0, var = 1.267938095683311d-5
i = 120.7993, pred = 0.8263888214246318d0, var = 1.2675500130589822d-5
i = 120.9993, pred = 0.8258174964336183d0, var = 1.2674896945406273d-5
i = 121.199295, pred = 0.8252664716924173d0, var = 1.267548935717128d-5
i = 121.39929, pred = 0.8247413445604297d0, var = 1.2679330245562206d-5
i = 121.59929, pred = 0.8242468801229227d0, var = 1.2692734463621813d-5
i = 121.799286, pred = 0.823787349397013d0, var = 1.2726524524016113d-5
i = 121.99928, pred = 0.8233665987384557d0, var = 1.2796042998811652d-5
i = 122.19928, pred = 0.8229884601205789d0, var = 1.2920475105961603d-5
i = 122.39928, pred = 0.8226566877210072d0, var = 1.3121042410925661d-5
i = 122.59927, pred = 0.8223749360335165d0, var = 1.3417830315584824d-5
i = 122.79927, pred = 0.8221465144101082d0, var = 1.3825358120791413d-5
i = 122.99927, pred = 0.8219742454820961d0, var = 1.4347512961006442d-5
i = 123.199265, pred = 0.8218600283317239d0, var = 1.4972980997214165d-5
i = 123.39926, pred = 0.821804738922864d0, var = 1.5672594361471883d-5
i = 123.59926, pred = 0.8218080033874325d0, var = 1.639982124382195d-5
i = 123.799255, pred = 0.821868333562774d0, var = 1.7094984106475217d-5
i = 123.99925, pred = 0.8219830515611964d0, var = 1.769282162729508d-5
i = 124.19925, pred = 0.8221485906526877d0, var = 1.813206658224139d-5
i = 124.39925, pred = 0.822360737386552d0, var = 1.836514715750579d-5
i = 124.59924, pred = 0.8226147322750446d0, var = 1.836604041654151d-5
i = 124.79924, pred = 0.8229056873503203d0, var = 1.8134647190529564d-5
i = 124.99924, pred = 0.8232285730443966d0, var = 1.7696804657407018d-5
i = 125.199234, pred = 0.8235784199713367d0, var = 1.709994718247557d-5
i = 125.39923, pred = 0.8239504075082417d0, var = 1.6405272309566067d-5
i = 125.59923, pred = 0.8243398566650981d0, var = 1.5678053295863875d-5
i = 125.799225, pred = 0.8247423643951864d0, var = 1.4978037033638085d-5
i = 125.99922, pred = 0.8251538964475709d0, var = 1.4351875958140779d-5
i = 126.19922, pred = 0.8255706993815419d0, var = 1.3828876954846228d-5
i = 126.399216, pred = 0.8259896290609762d0, var = 1.3420481921342229d-5
i = 126.59921, pred = 0.8264081171134899d0, var = 1.3122901973962305d-5
i = 126.79921, pred = 0.8268243031618551d0, var = 1.2921679538203703d-5
i = 126.99921, pred = 0.8272371137829209d0, var = 1.2796753286209801d-5
i = 127.1992, pred = 0.8276461051456001d0, var = 1.2726896214712075d-5
i = 127.3992, pred = 0.8280514059369777d0, var = 1.2692899021672308d-5
i = 127.5992, pred = 0.828453385018345d0, var = 1.267938654455496d-5
i = 127.799194, pred = 0.8288525049250397d0, var = 1.2675502010566819d-5
i = 127.99919, pred = 0.8292489248112999d0, var = 1.2674897499609397d-5
i = 128.19919, pred = 0.8296423031908114d0, var = 1.2675488664110719d-5
i = 128.39919, pred = 0.8300317580555154d0, var = 1.267932692841787d-5
i = 128.59918, pred = 0.8304157812006671d0, var = 1.2692725826463189d-5
i = 128.79918, pred = 0.8307924077924964d0, var = 1.2726504804448832d-5
i = 128.99918, pred = 0.8311594340887958d0, var = 1.2796006585434478d-5
i = 129.19917, pred = 0.8315146061589692d0, var = 1.2920415213485564d-5
i = 129.39917, pred = 0.8318558738469123d0, var = 1.3120953234711959d-5
i = 129.59917, pred = 0.8321814941779238d0, var = 1.3417709589764984d-5
i = 129.79916, pred = 0.8324901242039794d0, var = 1.382520806972044d-5
i = 129.99916, pred = 0.8327807509002262d0, var = 1.434734452480689d-5
i = 130.19916, pred = 0.8330525849362871d0, var = 1.4972813276477367d-5
i = 130.39915, pred = 0.8333049623850224d0, var = 1.5672454863907396d-5
i = 130.59915, pred = 0.8335371041217963d0, var = 1.6399742076312972d-5
i = 130.79915, pred = 0.83374781219374d0, var = 1.709500384363134d-5
i = 130.99915, pred = 0.8339355258085399d0, var = 1.769297162414d-5
i = 131.19914, pred = 0.8340978911918899d0, var = 1.8132366890398777d-5
i = 131.39914, pred = 0.8342318126765015d0, var = 1.8365606487105316d-5
i = 131.59914, pred = 0.8343333711949201d0, var = 1.8366652791286077d-5
i = 131.79913, pred = 0.8343976670294191d0, var = 1.813538612808176d-5
i = 131.99913, pred = 0.834418979853089d0, var = 1.7697635736305165d-5
i = 132.19913, pred = 0.834390866192438d0, var = 1.710082959080242d-5
i = 132.39912, pred = 0.8343063093636015d0, var = 1.640617371889405d-5
i = 132.59912, pred = 0.8341581070941875d0, var = 1.5678957549644734d-5
i = 132.79912, pred = 0.833939292315847d0, var = 1.4978960309996151d-5
i = 132.99911, pred = 0.8336437613749779d0, var = 1.4352874599140942d-5
i = 133.19911, pred = 0.8332670570435068d0, var = 1.3830058613142726d-5
i = 133.39911, pred = 0.8328069938778543d0, var = 1.3422016109670414d-5
i = 133.5991, pred = 0.8322645995850578d0, var = 1.3125022729704756d-5
i = 133.7991, pred = 0.831644599809489d0, var = 1.2924680084026563d-5
i = 133.9991, pred = 0.8309559256451141d0, var = 1.2800967883998947d-5
i = 134.1991, pred = 0.830211635708064d0, var = 1.2732654423015464d-5
i = 134.3991, pred = 0.8294285246177873d0, var = 1.2700452384932642d-5
i = 134.59909, pred = 0.8286262171212595d0, var = 1.2688792384228825d-5
i = 134.79909, pred = 0.8278260409988286d0, var = 1.2686492241911313d-5
i = 134.99908, pred = 0.8270494112509343d0, var = 1.2686762104689674d-5
i = 135.19908, pred = 0.8263163478695262d0, var = 1.2687054944629054d-5
i = 135.39908, pred = 0.8256440900769604d0, var = 1.268916439466552d-5
i = 135.59908, pred = 0.8250459444316298d0, var = 1.2699737956361437d-5
i = 135.79907, pred = 0.824530423927271d0, var = 1.2731108279554623d-5
i = 135.99907, pred = 0.8241010849551491d0, var = 1.2802065232212873d-5
i = 136.19907, pred = 0.8237566462631104d0, var = 1.2938014609111339d-5
i = 136.39906, pred = 0.8234914787140947d0, var = 1.3169937690801261d-5
i = 136.59906, pred = 0.8232966629286579d0, var = 1.3531649378734221d-5
i = 136.79906, pred = 0.8231608904320936d0, var = 1.4055189988958322d-5
i = 136.99905, pred = 0.8230717850520717d0, var = 1.4764703530158843d-5
i = 137.19905, pred = 0.8230169063256982d0, var = 1.5669792082351557d-5
i = 137.39905, pred = 0.8229847564224161d0, var = 1.675977738385481d-5
i = 137.59904, pred = 0.8229653641518603d0, var = 1.800041692011874d-5
i = 137.79904, pred = 0.8229507190422473d0, var = 1.9334129460659984d-5
i = 137.99904, pred = 0.8229350177214149d0, var = 2.0684048897468147d-5
i = 138.19904, pred = 0.8229144548207558d0, var = 2.1961336237556466d-5
i = 138.39903, pred = 0.8228871835408298d0, var = 2.307455979268447d-5
i = 138.59903, pred = 0.8228529700770812d0, var = 2.3939655288225577d-5
i = 138.79903, pred = 0.8228128912832647d0, var = 2.44891107487874d-5
i = 138.99902, pred = 0.8227689725993013d0, var = 2.4679232106373528d-5
i = 139.19902, pred = 0.8227238944314531d0, var = 2.449479832312796d-5
i = 139.39902, pred = 0.8226806695821184d0, var = 2.3950668159160652d-5
i = 139.59901, pred = 0.8226422899605391d0, var = 2.3090201547209915d-5
i = 139.79901, pred = 0.8226113780939651d0, var = 2.1980676468978784d-5
i = 139.99901, pred = 0.8225898975367367d0, var = 2.070601849727236d-5
i = 140.199, pred = 0.822578727831281d0, var = 1.9357663351419348d-5
i = 140.399, pred = 0.8225773418397913d0, var = 1.8024556562193707d-5
i = 140.599, pred = 0.8225836207168692d0, var = 1.6783757564004626d-5
i = 140.799, pred = 0.8225937009672485d0, var = 1.5693051286287802d-5
i = 140.999, pred = 0.8226020188532606d0, var = 1.4786817000750737d-5
i = 141.19899, pred = 0.8226016472937835d0, var = 1.407571668043755d-5
i = 141.39899, pred = 0.8225847927286837d0, var = 1.354996104511153d-5
i = 141.59898, pred = 0.822543583943959d0, var = 1.3185112433749373d-5
i = 141.79898, pred = 0.8224708637547775d0, var = 1.2948975745182195d-5
i = 141.99898, pred = 0.8223611063720926d0, var = 1.2808178482174864d-5
i = 142.19897, pred = 0.8222110971753429d0, var = 1.2733470640542399d-5
i = 142.39897, pred = 0.8220203295198083d0, var = 1.270335297966532d-5
i = 142.59897, pred = 0.8217911563516651d0, var = 1.2706035645925027d-5
i = 142.79897, pred = 0.8215286136347292d0, var = 1.273994924158357d-5
i = 142.99896, pred = 0.8212398588775534d0, var = 1.2812992032195547d-5
i = 143.19896, pred = 0.8209336174694286d0, var = 1.2940603741260034d-5
i = 143.39896, pred = 0.8206192780503241d0, var = 1.314266796219922d-5
i = 143.59895, pred = 0.8203062392206184d0, var = 1.3439248228148087d-5
i = 143.79895, pred = 0.8200032990363123d0, var = 1.3845387647525347d-5
i = 143.99895, pred = 0.8197180474911676d0, var = 1.4365575763146751d-5
i = 144.19894, pred = 0.8194566530553382d0, var = 1.4988967962721418d-5
i = 144.39894, pred = 0.8192236452491827d0, var = 1.568666497930642d-5
i = 144.59894, pred = 0.8190220046632718d0, var = 1.6412242307710454d-5
i = 144.79893, pred = 0.8188532167838616d0, var = 1.71060220561321d-5
i = 144.99893, pred = 0.8187175957822974d0, var = 1.770268363485997d-5
i = 145.19893, pred = 0.8186145911768034d0, var = 1.8140895687832895d-5
i = 145.39893, pred = 0.8185431373682983d0, var = 1.837302595271525d-5
i = 145.59892, pred = 0.8185019526177929d0, var = 1.8373014871967575d-5
i = 145.79892, pred = 0.8184899629104584d0, var = 1.8140743730191655d-5
i = 145.99892, pred = 0.8185064320305525d0, var = 1.7702041031960277d-5
i = 146.19891, pred = 0.8185513123302305d0, var = 1.710434891961208d-5
i = 146.39891, pred = 0.8186252565051343d0, var = 1.64088793355101d-5
i = 146.5989, pred = 0.8187297490026095d0, var = 1.5680918963838828d-5
i = 146.7989, pred = 0.8188670566157104d0, var = 1.4980235097977795d-5
i = 146.9989, pred = 0.8190400856935256d0, var = 1.4353493789408227d-5
i = 147.1989, pred = 0.8192522431548868d0, var = 1.3830014177456692d-5
i = 147.3989, pred = 0.8195071215240445d0, var = 1.3421239632801694d-5
i = 147.59889, pred = 0.8198082495065844d0, var = 1.3123377562929493d-5
i = 147.79889, pred = 0.820158679117401d0, var = 1.2921959135484586d-5
i = 147.99889, pred = 0.820560707593467d0, var = 1.2796907589580151d-5
i = 148.19888, pred = 0.8210155124005742d0, var = 1.272697812057993d-5
i = 148.39888, pred = 0.8215228760654225d0, var = 1.2692946726376722d-5
i = 148.59888, pred = 0.8220809313180341d0, var = 1.2679421771583427d-5
i = 148.79887, pred = 0.822686124367487d0, var = 1.2675537076129824d-5
i = 148.99887, pred = 0.8233330858566144d0, var = 1.2674934188182898d-5
i = 149.19887, pred = 0.8240147194874955d0, var = 1.2675522814460052d-5
i = 149.39886, pred = 0.8247224647181076d0, var = 1.2679348280951205d-5
i = 149.59886, pred = 0.8254464178353191d0, var = 1.2692717089822256d-5
i = 149.79886, pred = 0.8261758613456914d0, var = 1.2726442219475722d-5
i = 149.99886, pred = 0.8268996187614667d0, var = 1.2795859097114665d-5
i = 150.19885, pred = 0.8276066656185919d0, var = 1.2920145763367923d-5
i = 150.39885, pred = 0.8282866153195882d0, var = 1.3120523743782588d-5
i = 150.59885, pred = 0.8289302079723891d0, var = 1.341708490582731d-5
i = 150.79884, pred = 0.8295299654743509d0, var = 1.3824365697144115d-5
i = 150.99884, pred = 0.830080428002149d0, var = 1.434628043036932d-5
i = 151.19884, pred = 0.8305785551914664d0, var = 1.4971553573216417d-5
i = 151.39883, pred = 0.8310237339116712d0, var = 1.5671051759138672d-5
i = 151.59883, pred = 0.8314178995987218d0, var = 1.6398279496567364d-5
i = 151.79883, pred = 0.8317651312806464d0, var = 1.7093581258542014d-5
i = 151.99883, pred = 0.8320715712289681d0, var = 1.7691696345710447d-5
i = 152.19882, pred = 0.8323449179417493d0, var = 1.813133717114822d-5
i = 152.39882, pred = 0.832594004257444d0, var = 1.8364895074642502d-5
i = 152.59882, pred = 0.8328284817069246d0, var = 1.8366294588938174d-5
i = 152.79881, pred = 0.8330583864364691d0, var = 1.8135378698222068d-5
i = 152.99881, pred = 0.8332936661578685d0, var = 1.76979321363254d-5
i = 153.1988, pred = 0.8335439351636355d0, var = 1.710135086321778d-5
i = 153.3988, pred = 0.8338180351084125d0, var = 1.6406815587283014d-5
i = 153.5988, pred = 0.8341236839389259d0, var = 1.5679597170981488d-5
i = 153.7988, pred = 0.8344671675704359d0, var = 1.4979467862236661d-5
i = 153.9988, pred = 0.8348529248858129d0, var = 1.4353110596713092d-5
i = 154.19879, pred = 0.8352834261713208d0, var = 1.3829872783542645d-5
i = 154.39879, pred = 0.835758864733146d0, var = 1.3421231353884249d-5
i = 154.59879, pred = 0.8362771775610539d0, var = 1.312342707559098d-5
i = 154.79878, pred = 0.836834006725799d0, var = 1.2922018796723858d-5
i = 154.99878, pred = 0.8374229188683254d0, var = 1.2796951682828247d-5
i = 155.19878, pred = 0.838035564866758d0, var = 1.272699829285709d-5
i = 155.39877, pred = 0.8386620730069957d0, var = 1.2692942924001928d-5
i = 155.59877, pred = 0.8392914221243326d0, var = 1.2679400341932951d-5
i = 155.79877, pred = 0.8399119574342633d0, var = 1.2675504188877675d-5
i = 155.99876, pred = 0.8405119257521039d0, var = 1.2674896898446035d-5
i = 156.19876, pred = 0.8410799927216518d0, var = 1.2675485558630048d-5
i = 156.39876, pred = 0.8416058278494666d0, var = 1.2679310797095323d-5
i = 156.59875, pred = 0.8420806780358037d0, var = 1.2692677417806662d-5
i = 156.79875, pred = 0.8424977295579655d0, var = 1.2726394759125157d-5
i = 156.99875, pred = 0.8428526050212297d0, var = 1.279579357871572d-5
i = 157.19875, pred = 0.8431433387275329d0, var = 1.2920050862656734d-5
i = 157.39874, pred = 0.8433705360608202d0, var = 1.3120386551007044d-5
